vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_7d_ma,sp500_30d_ma,sp500_volatility,prev_day_price
21.69,342.070007,18.728312499063627,2731.08,13.13,2942.0,-0.44086,8.05,3,76.66170022,89.528862,341.369995,341.0971461428571,338.8600016,1.5493434592984054,341.369995
17.73,341.920013,18.764837670420302,2729.73,15.76,2959.0,-0.457335,8.03,3,76.66170022,100.5192947,342.070007,341.5571462857143,339.1943348666667,1.1440023146069858,342.070007
19.8,344.339996,18.774642016212436,2751.8,13.0,2995.0,-0.472134,8.02,3,76.66170022,74.69149017,341.920013,341.65714357142855,339.5810017333333,1.3655500739173947,341.920013
20.75,344.73999,18.777025640431425,2763.06,19.55,2995.0,-0.514113,8.01,3,76.66170022,90.2914505,344.339996,342.1785712857142,339.88766776666665,1.7543963696979317,344.339996
20.38,344.679993,18.667462701645086,2765.77,14.62,3020.0,-0.519468,8.03,3,76.66170022,76.09267426,344.73999,342.74285442857143,340.25233453333334,1.843787549503158,344.73999
22.67,340.720001,18.80682711447084,2732.88,19.15,3052.0,-0.522599,8.08,3,76.66170022,97.15631866,344.679993,342.834285,340.34533480000005,1.6999936946849339,344.679993
22.46,338.089996,18.845490864863244,2711.94,17.63,3067.0,-0.52351,8.06,3,76.66170022,81.24469757,340.720001,342.36571371428573,340.3833342666666,2.4551677109945507,340.720001
23.33,335.119995,18.976059000505966,2695.95,24.97,3067.0,-0.522201,7.95,3,76.66170022,131.3878937,338.089996,341.37285485714284,340.2116678,3.6896184804775705,338.089996
24.16,331.049988,18.729267784428885,2666.67,16.13,3056.0,-0.50493,8.0,3,76.66170022,126.7704773,335.119995,339.8199941428571,339.9823343,5.339511065632819,335.119995
21.7,330.359985,18.738115781833635,2654.5,14.92,3015.0,-0.494707,8.03,3,76.66170022,77.71419525,331.049988,337.8228497142857,339.70533336666665,5.9470374366071805,331.049988
20.86,332.029999,18.709462219339205,2666.44,115.78,3018.0,-0.482244,8.06,3,76.66170022,82.45043945,330.359985,336.00713671428565,339.57300000000004,5.398087924003176,330.359985
20.25,332.920013,18.766608146419973,2676.58,15.83,3009.0,-0.467536,8.09,3,76.66170022,92.80900574,332.029999,334.3271395714286,339.4413339333333,3.8598636263951502,332.029999
22.19,329.109985,18.687879465117955,2645.05,15.85,2986.0,-0.450576,8.05,3,76.66170022,78.45555115,332.920013,332.6685658571428,339.1426665333333,3.0682579341660388,332.920013
19.52,330.799988,18.625660332785543,2656.76,14.25,2951.0,-0.386647,8.07,3,76.66170022,44.61370468,329.109985,331.6271361428571,338.7723326666666,1.9575872892067332,329.109985
18.43,332.25,18.819591089800365,2668.92,15.65,2945.0,-0.361659,8.19,3,118.5379459,120.3694611,330.799988,331.21713685714286,338.39633269999996,1.2912583305825502,330.799988
19.32,334.480011,18.76858736526089,2689.64,16.59,2957.0,-0.338035,8.17,3,118.5379459,151.615448,332.25,331.70714014285716,338.15999949999997,1.7767843073653447,332.25
17.81,335.570007,18.796098937578254,2696.17,18.08,2954.0,-0.315764,8.15,3,118.5379459,82.54502106,334.480011,332.451429,338.0210000666666,2.1668305158462355,334.480011
17.28,338.390015,18.761073862431722,2710.36,15.5,2946.0,-0.29484,8.02,3,118.5379459,97.07157898,335.570007,333.3600027142857,338.1110005,3.095200154563874,335.570007
17.65,340.529999,18.704053552348437,2721.62,14.25,2958.0,-0.239598,8.09,3,118.5379459,72.01234436,338.390015,334.44714357142857,338.22133376666665,4.091122769005809,338.390015
18.49,342.01001,18.786919812493064,2733.56,14.09,2953.0,-0.223058,8.06,3,118.5379459,64.08241272,340.529999,336.29000428571425,338.3673339333333,4.190514104906077,340.529999
18.64,342.859985,18.84083740737296,2732.88,18.31,2942.0,-0.207368,8.01,3,118.5379459,82.81419373,342.01001,338.012861,338.41266676666663,4.033385090786263,342.01001
18.59,343.820007,18.881012759812112,2738.51,20.03,2985.0,-0.192521,7.97,3,118.5379459,66.04279327,342.859985,339.66571914285714,338.47333366666663,3.6285435374860544,342.859985
19.81,352.0,19.271002603157083,2801.58,31.5,2960.0,-0.178511,7.88,3,118.5379459,61.70091248,343.820007,342.1685747142857,338.84700003333336,5.170281785688876,343.820007
20.14,354.75,19.233431528594505,2821.53,30.51,2976.0,-0.141578,7.89,3,118.5379459,95.12441254,352.0,344.90857371428564,339.3406666333333,6.090824891596421,352.0
19.49,354.279999,18.925870522133636,2822.45,21.1,2965.0,-0.131116,7.91,3,118.5379459,75.05818176,354.75,347.17857142857144,339.85999953333334,6.2162510670907105,354.75
17.71,354.0,18.88949617381872,2819.68,17.03,2948.0,-0.121592,7.93,3,118.5379459,110.8452454,354.279999,349.10285728571426,340.20533236666665,5.891503825733258,354.279999
17.27,354.470001,18.92006112610268,2831.71,19.09,2917.0,-0.113003,7.93,3,118.5379459,80.11467743,354.0,350.882856,340.65133253333335,5.237332098233109,354.0
17.2,354.640015,18.90631163523689,2819.91,25.25,2925.0,-0.105344,8.01,3,118.5379459,70.23111725,354.470001,352.5657174285714,341.1149993333334,3.9687007025247163,354.470001
16.72,358.0,18.929183678362662,2844.68,19.43,2930.0,-0.0875615,8.02,3,118.5379459,121.4608078,354.640015,354.5914307142857,341.7123331,1.771199572398759,354.640015
17.84,358.429993,19.130439195235137,2852.23,23.85,2970.0,-0.0828682,7.99,3,118.5379459,91.48079681,358.0,355.51000114285716,342.28099970000005,1.867954915597826,358.0
17.18,359.290009,18.96492180706058,2856.26,19.84,3028.0,-0.0787278,7.91,3,118.5379459,85.74766541,358.429993,356.15857385714287,342.8549997666667,2.2986178855688566,358.429993
17.7,358.410004,18.85983849947279,2855.55,22.13,3048.0,-0.0751385,7.95,3,118.5379459,99.41253662,359.290009,356.74857457142855,343.4046661333333,2.2658719218516783,359.290009
17.32,354.579987,18.605083475266152,2820.92,16.25,3059.0,-0.0720991,8.01,3,118.5379459,100.3808441,358.410004,356.83142985714284,343.7459991666667,2.1565832656105943,358.410004
